id,trigger,condition,recommendation,action,priority,domain,rationale
r025,text_analysis,has_open_ended,Apply word frequency and sentiment analysis first,run basic NLP before advanced techniques,medium,survey,Start with simple text metrics before complex analysis
r026,time_series,has_datetime_index,Check for seasonality and trend before modeling,decompose time series first,high,financial,Understanding components improves forecasting
r027,time_series,forecasting_needed,Use ARIMA or Prophet for univariate forecasting,fit appropriate time series model,high,financial,Proper time series models capture autocorrelation
r028,weighting,is_survey_data,Check if sample weighting is needed to match population,compare sample demographics to targets,high,survey,Unweighted surveys may not represent population
r029,weighting,has_weight_column,Apply weights to all calculations,use weighted means and weighted crosstabs,critical,survey,Ignoring weights produces biased estimates
r030,effect_size,significant_result,Report effect size alongside p-value,calculate Cohen's d or eta-squared,high,research,P-values don't indicate practical significance
r031,multiple_testing,n_tests > 5,Apply Bonferroni or FDR correction,adjust alpha or use FDR method,high,research,Multiple comparisons inflate false positive rate
r032,assumption_check,using_regression,Check residual normality and homoscedasticity,plot residuals and run diagnostic tests,high,research,Violated assumptions invalidate inference
r033,data_quality,has_duplicates,Remove or investigate duplicate records,check for true duplicates vs valid repeats,critical,general,Duplicates can inflate sample size artificially
r034,data_quality,has_inconsistent_coding,Standardize category labels before analysis,clean and map to consistent values,critical,general,Inconsistent coding creates fake categories
r035,crosstab,expected_insight_type == comparison,Calculate row percentages for comparison across groups,use normalize='index' in crosstab,high,survey,Row percentages enable group comparison
r036,crosstab,expected_insight_type == composition,Calculate column percentages to see composition,use normalize='columns' in crosstab,high,survey,Column percentages show within-group composition
r037,hypothesis,no_prior_hypothesis,Use exploratory analysis first then confirmatory,clearly separate EDA from hypothesis testing,high,research,Exploratory findings need confirmation on new data
r038,automation,recurring_report,Create reusable analysis pipeline,build parameterized scripts,medium,general,Automation reduces errors and saves time
r039,deliverable,client_facing,Export visualizations at 300 DPI minimum,set dpi=300 in savefig,medium,general,High resolution needed for print and presentations
r040,reproducibility,any_analysis,Set random seeds and document package versions,use random_state and pip freeze,high,research,Reproducibility is scientific standard
r041,survey_stats,has_battery_questions,Use survey-stats Factor Analysis for Likert batteries,call survey_stats.factor_analysis.run_factor_analysis(),high,survey,Specialized function handles survey data patterns
r042,survey_stats,need_population_weights,Apply Raking algorithm for sample weighting,call survey_stats.weighting.rake_weights(),critical,survey,IPF/Raking adjusts sample to match population targets
r043,survey_stats,goal_is_segmentation,Use survey_stats Clustering for persona creation,call survey_stats.clustering.run_segmentation(),high,survey,Optimized clustering for survey respondent profiles
r044,survey_stats,has_multi_response,Use Survey PCA for multi-response data,call survey_stats.survey_pca.run_survey_pca(),high,survey,Handles string-split multi-response columns
r045,survey_stats,product_optimization,Apply TURF Analysis for portfolio optimization,call survey_stats.turf_analysis.run_turf_analysis(),high,marketing,Maximizes unduplicated reach across products
r046,survey_stats,weighted_visualization,Use weighted bar charts for presentation,call survey_stats.visuals.plot_weighted_bars(),medium,survey,Ensures charts reflect population estimates
r047,data_type,all_categorical,Consider Latent Class Analysis instead of K-Means,use LCA for categorical clustering,high,survey,K-Means assumes continuous features
r048,comparison,before_after_design,Use Repeated Measures ANOVA or paired tests,account for within-subject correlation,high,research,Paired designs need appropriate analysis
r049,modeling,count_outcome,Use Poisson or Negative Binomial regression,apply GLM with appropriate family,high,healthcare,Linear regression inappropriate for count data
r050,modeling,ordinal_outcome,Use Ordinal Logistic Regression,preserve ordered categories in model,high,survey,Binary logistic loses ordinal information
r051,reliability,multi_item_scale,Calculate Cronbach's Alpha before analysis,assess scale internal consistency,high,survey,Unreliable scales produce unreliable results
r052,validation,new_scale,Run Confirmatory Factor Analysis to validate structure,test hypothesized factor model,high,research,Theory-driven validation required for new instruments
r053,bayesian,prior_information,Consider Bayesian approach with informative priors,use PyMC or Stan for inference,medium,research,Bayesian methods incorporate prior knowledge
r054,bootstrap,unknown_distribution,Use Bootstrap for confidence intervals,apply scipy.stats.bootstrap(),high,general,Non-parametric CI estimation
r055,decision_tree,need_interpretable_model,Use CHAID or CART for segmentation,apply sklearn.tree.DecisionTreeClassifier(),high,marketing,Trees provide interpretable decision rules
r056,conjoint,product_design,Run Conjoint Analysis for attribute importance,estimate part-worths from choice data,high,marketing,Conjoint reveals trade-offs consumers make
r057,maxdiff,ranking_many_items,Use MaxDiff instead of simple ranking,best-worst scaling more discriminating,high,marketing,MaxDiff forces trade-offs between items
r058,ab_test,experimental_design,Calculate required sample size before testing,use power analysis,critical,marketing,Underpowered tests waste resources
r059,ab_test,test_completed,Report confidence intervals not just p-values,include effect size and CI bounds,high,marketing,CIs more informative than significance alone
r060,visualization,pie_chart_requested,Suggest donut or bar chart instead,avoid pie charts when possible,medium,general,Bar charts easier to compare than pie slices
r061,visualization,showing_distribution,Use histogram or density plot,show full distribution not just summary,medium,general,Summary statistics hide distribution shape
r062,visualization,comparing_two_distributions,Use overlapping histograms or violin plots,enable direct comparison,medium,general,Side-by-side comparison reveals differences
r063,visualization,showing_correlation,Use scatter plot with regression line,include r-squared annotation,high,general,Visual confirmation of correlation strength
r064,visualization,many_variables,Use correlation heatmap,sns.heatmap(df.corr()) with annotation,medium,general,Heatmaps reveal patterns in correlation matrices
r065,visualization,temporal_data,Use line chart with clear time axis,show trend over time,high,financial,Line charts best for temporal patterns
r066,color,accessible_palette,Use colorblind-friendly palette,avoid red-green combinations,high,general,~8% of men have color vision deficiency
r067,color,diverging_data,Use diverging color scale,center at meaningful midpoint (0 or mean),high,general,Diverging scales show deviation from center
r068,color,sequential_data,Use sequential color scale,vary saturation or lightness,medium,general,Sequential scales show magnitude
r069,color,categorical_data,Use qualitative color palette,distinct hues for categories,medium,general,Qualitative palettes distinguish categories
r070,reporting,stakeholder_presentation,Create executive summary slide first,key findings + recommendations,high,general,Busy stakeholders need bottom-line first
r071,reporting,data_storytelling,Structure as situation-complication-resolution,narrative flow improves engagement,medium,general,Stories more memorable than data dumps
r072,formatting,large_numbers,Use thousands separators,format 1000000 as 1.000.000 or 1M,medium,general,Improves readability of large numbers
r073,formatting,percentages,Show one decimal place maximum,avoid false precision like 45.678%,medium,general,More decimals imply false precision
r074,formatting,p_values,Report exact p-values not just significance,p=0.023 more informative than p<0.05,high,research,Exact values enable meta-analysis
r075,inference,correlation_causation,Never claim causation from correlation alone,use causal language carefully,critical,research,Correlation does not imply causation
r076,inference,significant_but_small,Report effect size to assess practical importance,small effects may not be meaningful,high,research,Statistical significance ≠ practical significance
r077,validation,model_overfitting,Use cross-validation to assess generalization,split data or use k-fold CV,high,research,Training accuracy misleading without validation
r078,validation,test_set,Hold out data for final validation,never peek at test set during modeling,critical,research,Data leakage invalidates model assessment
r079,documentation,analysis_complete,Create analysis log with decisions and rationale,document why not just what,high,research,Future reviewers need context
r080,documentation,code_complete,Add comments and docstrings,explain non-obvious code,medium,general,Code should be self-documenting
robust_stats_outliers,data_quality,Outliers detected (>5% beyond 3 IQR),"Consider using robust statistics: trimmed mean (scipy.stats.trim_mean), MAD (statsmodels.robust.scale.mad), or median instead of mean/std. These are resistant to outliers.",Check robust_stats_outliers,high,general,"Consider using robust statistics: trimmed mean (scipy.stats.trim_mean), MAD (statsmodels.robust.scale.mad), or median instead of mean/std. These are resistant to outliers."
permutation_small_sample,hypothesis_testing,Sample size < 30 and normality questionable,Consider permutation test instead of t-test for exact p-values without distributional assumptions. Use scipy.stats.permutation_test or implement custom permutation.,Check permutation_small_sample,medium,general,Consider permutation test instead of t-test for exact p-values without distributional assumptions. Use scipy.stats.permutation_test or implement custom permutation.
weighted_time_series,regression,Time series data with varying quality over time,Consider weighted regression with higher weights for recent/higher-quality data. Use sample_weight parameter in sklearn.linear_model.LinearRegression.,Check weighted_time_series,medium,general,Consider weighted regression with higher weights for recent/higher-quality data. Use sample_weight parameter in sklearn.linear_model.LinearRegression.
partial_resid_polynomial,regression_diagnostics,Polynomial terms in regression model,Use partial residual plots (statsmodels.graphics.plot_ccpr) to validate polynomial necessity and check for missed nonlinearity.,Check partial_resid_polynomial,high,general,Use partial residual plots (statsmodels.graphics.plot_ccpr) to validate polynomial necessity and check for missed nonlinearity.
correlation_grayscale_pub,visualization,Correlation matrix for publication,"For grayscale publications, use correlation ellipse plots instead of heatmaps. Ellipses show direction and strength without color.",Check correlation_grayscale_pub,low,general,"For grayscale publications, use correlation ellipse plots instead of heatmaps. Ellipses show direction and strength without color."
weighted_median_needed,statistics,Need for central tendency with varying observation importance,Use weighted median (wquantiles.median) when observations have different importance. More robust than weighted mean for skewed data.,Check weighted_median_needed,medium,general,Use weighted median (wquantiles.median) when observations have different importance. More robust than weighted mean for skewed data.
mad_vs_std,statistics,High outlier count or skewed distribution,Use MAD (Median Absolute Deviation) instead of standard deviation for robust variability measure. MAD = median(|X - median(X)|) / 0.6745.,Check mad_vs_std,medium,general,Use MAD (Median Absolute Deviation) instead of standard deviation for robust variability measure. MAD = median(|X - median(X)|) / 0.6745.
bootstrap_ci_small_sample,inference,Small sample size (<30) for confidence intervals,Consider bootstrap confidence intervals instead of parametric methods. Use sklearn.utils.resample or scipy.stats.bootstrap.,Check bootstrap_ci_small_sample,medium,general,Consider bootstrap confidence intervals instead of parametric methods. Use sklearn.utils.resample or scipy.stats.bootstrap.
